"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3","1","10n","","","",""
"3","C4, C7","2","100n","","","",""
"4","C5, C6","2","1u box","","","",""
"5","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"6","D3, D4","2","1N4148","","","",""
"7","D5","1","LED","","","",""
"8","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"9","J2, J3","2","AudioJack2_SwitchT","","","Tayda","A-2566"
"10","M1, M2","2","Standoff","Eurorack:Standoff_M2.5x0.45-11mm","","Digikey","732-10549-ND"
"11","M3, M4, M5, M6","4","Screw","Eurorack:Screw_M2.5x0.45-6mm","","Digikey","36-29301-ND"
"12","Q1","1","BCM847","","","",""
"13","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"14","R3","1","100K","","","",""
"15","R4, R5","2","22K","","","",""
"16","R6, R7, R10","3","10K","","","",""
"17","R8","1","1K","","","",""
"18","R9","1","1.8K","","","",""
"19","RV1, RV2","2","A1M","","","",""
"20","U1","1","4538","","","",""
